sha256,bytes_each,copies,wasted_bytes,paths
70ba6cf70e82f92e54a4315a093f07806937f7ab9e97d5abe80dfa42ab62ba71,227283,3,454566,outputs/tables/m5_eta_lobatto_dae_eval_lobatto_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_interface_diag_best_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_radial_conditioning_audit_98p125_N164_profiles.json
761e91e6d08c9fc90f3dd99734e21dd22e1962925b55c71bb4cfab8b1f9e946a,205576,3,411152,outputs/tables/m5_local_mdot_eta90_source_element_ls_poly_strict_N251_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_global_domain2_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_global_domain3_eta90_profiles.json
9dfacb7316b53c61b477aa0f09fee9fdb129395cc41cfa3fdb5baa7cd41ea0d4,133382,4,400146,outputs/tables/m5_source_band_freezeaux_eval_eta100_N164_profiles.json | outputs/tables/m5_source_band_mass_increment_floor_audit_eta100_N164_profiles.json | outputs/tables/m5_source_band_mass_increment_global_forced5_eta100_N164_profiles.json | outputs/tables/m5_source_band_mass_increment_local_forced20_eta100_N164_profiles.json
0b1da08c2f536393ce77f6c3ef938a1ad743325bb454b7274388735d2c647229,133132,4,399396,outputs/tables/m5_eta_coupled_window10_15_linear_from_narrow_98p15625_N164_profiles.json | outputs/tables/m5_eta_coupled_window10_15_linear_halo32_from_narrow_98p15625_N164_profiles.json | outputs/tables/m5_eta_coupled_window10_15_linear_increment_from_narrow_98p15625_N164_profiles.json | outputs/tables/m5_eta_coupled_window10_15_linear_sourceonly_from_narrow_98p15625_N164_profiles.json
210511e191d7ebdb4cc6ac0d57c6155d539e4ff1c1591812a06a15ac5f4a488e,164484,3,328968,outputs/tables/m5_local_mdot_eta90_Nsrc32_source_domain_qm_halo4_seed_profiles.json | outputs/tables/m5_local_mdot_eta90_source_buffer_qm_midmass_from_halo4_seed_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_ls_poly_strict_N201_profiles.json
e5085ed9a02c7c90bed9f69239e99c1225a5343962551a1b310d0a3b6809e56d,133450,3,266900,outputs/tables/m5_eta_blockmass_postcheck99p6_N164_profiles.json | outputs/tables/m5_eta_blockmass_postcheck99p6_topall_N164_profiles.json | outputs/tables/m5_eta_from99p65_blockmass_refresh_check99p6_N164_profiles.json
d9cf523c168ddad97ac865026bbe67e7184e0ff565f1c49697481853eea7f80e,227433,2,227433,outputs/tables/m5_eta_source_element_fprime_corehalo8_audit_local_nfev80_98p125_N164_profiles.json | outputs/tables/m5_eta_source_element_lobatto_scaling_audit_local_nfev80_98p125_N164_profiles.json
e5994dfd45be9b27716bcc58b181a143dabcd5686d3fb2632753873b03100d2f,227365,2,227365,outputs/tables/m5_eta_lobatto_homotopy_chi0_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_source_eval_from_colpass2_98p125_N164_profiles.json
25573f4e42e772216db24c9bfbab3714c93aa4c0caa0911650fb56962e4f9218,205524,2,205524,outputs/tables/m5_local_mdot_eta90_source_element_refine2_block_domain_buffer_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_blockmass_then_domain_eta90_profiles.json
bc0d5c2e4928de0afb6db37067e8140e050b3091dfbad73a15d6a356c91556a1,133606,2,133606,outputs/tables/m5_eta99p9_freezeaux_eval_minimal_N164_profiles.json | outputs/tables/m5_eta99p9_tangent_eval_chi1_N164_profiles.json
dedcb1d981100843f161619055c9c637ffa266823b40577837f345e206392625,133426,2,133426,outputs/tables/m5_eta_broad_mass_increment_active_mdot_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_mass_increment_active_mdot_pass2_98p125_N164_profiles.json
bd1be8dedff64916132c75f5a640b0373717daa248c876e4dbf5636612dfa542,133316,2,133316,outputs/tables/m5_eta_sourceband_reduced_nonlinear8_98p125_from98p15625_N164_profiles.json | outputs/tables/m5_eta_tangent_reduced_98p125_from98p15625_N164_profiles.json
faa42856e790de52b159b44bda1120a54f7a4d6876b3a9baeb66bc03c7f0d283,133212,2,133212,outputs/tables/m5_eta_adaptive_active_window_dense_sonic_98p46875_N164_profiles.json | outputs/tables/m5_eta_adaptive_active_window_dense_sonic_finealpha_98p46875_N164_profiles.json
e1bd751d46cae570043e7595a69214c8b742c763a888637467afa941cf24215c,133210,2,133210,outputs/tables/m5_eta_coupled_inner_window_98p15625_N164_profiles.json | outputs/tables/m5_eta_eval_bare_from_narrow_98p15625_N164_profiles.json
